EN: 84, KO: 84
[0] EN: Chapter 14 | KO: 제14장
[1] EN: Mina Harker's Journal | KO: 미나 하커의 일기
[2] EN: September 23.?Jonathan is feel | KO: 9월 23일.—조나단은 힘든 밤을 보낸 후 한결 나아졌
[3] EN: September 24.?I could not brin | KO: 9월 24일.—어젯밤에는 차마 글을 쓸 수 없었다. 조
[4] EN: Letter from Van Helsing to Mrs | KO: 반 헬싱이 하커 부인에게 보낸 편지.
[5] EN: "September 24. | KO: "9월 24일.
[6] EN: (Confidential) | KO: (친전)
[7] EN: "Dear Madam,? | KO: "부인께,—
[8] EN: "Please forgive me for writing | KO: "루시 웨스텐라 양의 슬픈 부고를 전해드리며 안면을 튼
[9] EN: "Van Helsing." | KO: "반 헬싱 올림."
[10] EN: Telegram from Mrs. Harker to V | KO:  하커 부인이 반 헬싱에게 보낸 전보.
[11] EN: "September 25.?Come today on t | KO: "9월 25일.—혹시 오늘 10시 15분 기차를 타실 
[12] EN: "Wilhelmina Harker." | KO: "빌헬미나 하커 올림."
[13] EN: Mina Harker's Journal. | KO: 미나 하커의 일기.
[14] EN: September 25.?I cannot help fe | KO: 9월 25일.—반 헬싱 박사님의 방문이 다가오니 기분이
[15] EN: I suppose a good cry helps us  | KO: 가끔은 실컷 울고 나면 비 온 뒤 하늘이 개듯 마음이 
[16] EN: * * * * * | KO: * * * * *
[17] EN: Later.?He came and went. Oh, w | KO: 나중.—그가 왔다 갔다. 오, 이토록 기묘한 만남이라니
[18] EN: It was half-past two when the  | KO: 노크 소리가 났을 때 시계는 2시 반을 가리키고 있었다
[19] EN: I stood up and bowed, and he w | KO: 내가 일어나 인사를 건네자, 그가 다가왔다. 그는 중간
[20] EN: "Mrs. Harker, is it not?" I no | KO: "하커 부인 되십니까?" 나는 고개를 끄덕였다.
[21] EN: "You were Miss Mina Murray?" I | KO: "미나 머레이 양이셨고요?" 나는 다시 고개를 끄덕였다
[22] EN: "It is Mina Murray I came to s | KO: "제가 찾아온 건 바로 미나 머레이 양입니다. 가엾은 
[23] EN: "Sir," I replied, "you could h | KO: 내가 대답했다. "선생님, 선생님이 루시 웨스텐라의 친
[24] EN: "Oh, Madam Mina, I knew the fr | KO: "오, 미나 부인, 가엾고 순수한 그 아이의 친구라면 
[25] EN: "I have read your letters to M | KO: "부인께서 루시 양에게 보내신 편지를 읽었습니다. 용서
[26] EN: "I believe I can tell you all  | KO: "제가 전부 다 말씀드릴 수 있을 것 같네요, 반 헬싱
[27] EN: "Ah, so you have a good memory | KO: "아, 사실과 세부 사항을 잘 기억하시는군요? 젊은 아
[28] EN: "No, Doctor, but I wrote it al | KO: "아닙니다, 박사님. 전 그 일이 일어났을 때 모두 기
[29] EN: "Oh, Madam Mina, I would be ve | KO: "오, 미나 부인, 그렇게 해주시면 정말 감사하겠습니다
[30] EN: "May I read it?" | KO: "읽어봐도 되겠습니까?"
[31] EN: "If you wish," I answered as p | KO: "원하신다면요." 나는 최대한 정중하게 대답했다. 그는
[32] EN: "Oh, you are such a clever wom | KO: "오, 정말 영리하신 분이군요!" 그가 말했다. "저는
[33] EN: "Forgive me," I said. "I could | KO: "용서하세요." 내가 말했다. "저도 모르게 그만 장난
[34] EN: He took it, and his eyes shone | KO: 그가 받아 들자 그의 눈이 반짝였다. "정말 친절하시군
[35] EN: "By all means," I said. "Read  | KO: "그럼요." 내가 말했다. "제가 점심을 준비하는 동안
[36] EN: "Oh, Madam Mina," he said, "ho | KO: "오, 미나 부인." 그가 말했다. "제가 부인께 얼마
